titel;auteur;Plaatsing;Plaatsing omschrijving;Pl.Opmerking;Zizo Jeugd;Prijs;Jaargang;Genre Jeugd;Hoofdwoord;isbn;Exem-id;Magazijn;Materiaal;Min. leeftijd;Status;Bijlage;Categorie
321 superslimme dingen die je moet weten over geschiedenis;Masters, Mathilda;JIK;Jeugd info: geschiedenis;;GEGES;20.50;    ;;;3,00E+13;12434892;N;B5;0;U;;5
321 superslimme dingen die je moet weten over natuur;Masters, Mathilda;JIH;Jeugd info: natuur;;NANAT;22.99;;;;3,00E+13;27801908;N;B5;0;B;;5
321 superslimme dingen die je moet weten over natuur;Masters, Mathilda;JIH;Jeugd info: natuur;12+ - blauw;NANAT;20.99;;;;3,00E+13;28702176;N;B5;0;B;;5
321 superslimme dingen die je moet weten over wetenschap;Masters, Mathilda;JIE;Jeugd info: weetjes;;WEWEE;20.50;;;;3,00E+13;24102906;N;B5;0;B;;5
321 superslimme dingen die je moet weten over wetenschap;Masters, Mathilda;JIF;Jeugd info: wetenschappen;;WTWET;20.50;;;;3,00E+13;24107708;N;B5;0;B;;5
321 superslimme dingen die je moet weten voor je 13 wordt;Masters, Mathilda;JIE;Jeugd info: weetjes;;WEWEE;19.99;;;;NA104480X;5891774;N;B5;0;B;;5
321 superslimme dingen die je moet weten voor je 13 wordt;Masters, Mathilda;JIE;Jeugd info: weetjes;;WEWEE;19.99;;;;PI0778613;5891775;N;B5;0;B;;5
365 ideeën om te maken met legosteentjes;Hugo, Simon;JIO;Jeugd info: vrije tijd - kunst;;VRSPG;19.99;;;;3,00E+13;30733355;N;B5;0;B;;5
365 ideeën om te maken met legosteentjes;Hugo, Simon;JIO;Jeugd info: vrije tijd - kunst;9+ - rood;VRSPG;19.99;;;;3,00E+13;30611119;N;B5;0;U;;5
365 x wetenschap : knutselen en experimenteren;;JIF;Jeugd info: wetenschappen;;WTPRO;16.99;;;;PI0683086;5259572;N;B5;0;B;;5
365 x wetenschap : knutselen en experimenteren;;JIF;Jeugd info: wetenschappen;;WTPRO;16.99;    ;;;NA0858048;5259569;N;B5;0;B;;5
4 avonturen van Robbedoes ... en Kwabbernoot;Franquin, André;SJB;Strips jeugd 9-11 jaar;Robbedoes en Kwabbernoot;;2.21;;;;NA0398837;2818910;N;S4;0;B;;4
4 vriendinnen voor altijd;Brashares, Ann;YF0;Jongeren fictie grijs;BRAS;;14.95;;;;NA0641464;3381885;N;BA;0;A;;4
4 vriendinnen, 1 spijkerbroek;Brashares, Ann;YF0;Jongeren fictie grijs;BRAS;;14.95;;;;NA0641472;3180921;N;BA;0;A;;4
400 Minuten;Heath, Jack;JFB;Jeugd fictie 9-11 jaar rood;HEAT;;12.50;;;;NA1100874;6120347;N;B4;0;B;;4
48 uur;Van Driel, Marcel;JFC;Jeugd fictie 12-14 jaar blauw;;;14.99;;;VAND;3,00E+13;30574227;N;B4;0;B;;4
5 voor 12;Desmet, Thomas;YF0;Jongeren fictie grijs;;;16.99;;;DESM;3,00E+13;30108882;N;B4;0;B;;4
5 vriendjes & ik;Stephenson, John;FSJ;Speelfilms jeugd;5;;8.26;;;;NA0769142;4264420;N;D4;6;B;;2
50 gekke vragen over paarden : met super serieuze antwoorden!;Grundmann, Emmanuelle;JIH;Jeugd info: natuur;6+ - geel;NAPAA;9.99;;;;NA1115308;6249102;N;B5;0;U;;5
50 gekke vragen over piraten : met super serieuze antwoorden!;Billioud, Jean-Michel;JIG;Jeugd info: verkeer;6+ - geel;VESCH;10.99;;;;3,00E+13;23811541;N;B5;0;B;;5
50 gekke vragen over ridders;Billioud, Jean-Michel;JIK;Jeugd info: geschiedenis;;GEMID;0.00;    ;;;3,00E+13;7637834;N;B5;0;B;;5
50 gekke vragen over voetbal : met super serieuze antwoorden;Récamier, Joseph;JIO;Jeugd info: vrije tijd - kunst;;VRBAL;0.00;    ;;;3,00E+13;7637866;N;B5;0;B;;5
50 kaarsjes;Leemans, Hec;SJB;Strips jeugd 9-11 jaar;FC De Kampioenen;;4.99;    ;;;NA0951676;4088275;N;S4;0;U;;4
50 kaarsjes;Leemans, Hec;SJB;Strips jeugd 9-11 jaar;FC De Kampioenen;;5.95;    ;;;NA0904341;4088276;N;S4;0;B;;4
50 kaarsjes;Leemans, Hec;SJB;Strips jeugd 9-11 jaar;Fc De Kampioenen;;6.50;    ;;;NA1119605;5894555;N;S4;0;U;;4
50 stoere beroepen;Righton, Natalie;JIN;Jeugd info: dagelijks leven;;DASCH;24.95;;;;PI0577103;3393654;N;B5;0;B;;5
50 stoere beroepen;Righton, Natalie;JIN;Jeugd info: dagelijks leven;;DASCH;24.95;    ;;;NA0638730;3393651;N;B5;0;B;;5
500 appjes die ik niet wil lezen;Stoffels, Maren;JFB;Jeugd fictie 9-11 jaar;;;13.99;;;STOF;3,00E+13;21660380;N;B4;0;B;;4
